16:07:48.028 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.121 scheduled to DedicatedJobQueue, queue size:1
16:07:48.061 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.122 scheduled to DedicatedJobQueue, queue size:1
16:07:48.077 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.123 scheduled to DedicatedJobQueue, queue size:1
16:07:48.093 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.124 scheduled to DedicatedJobQueue, queue size:1
16:07:48.108 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.125 scheduled to DedicatedJobQueue, queue size:1
16:07:48.122 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.126 scheduled to DedicatedJobQueue, queue size:1
16:07:48.136 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.127 scheduled to DedicatedJobQueue, queue size:1
16:07:48.152 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.128 scheduled to DedicatedJobQueue, queue size:1
16:07:48.167 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.129 scheduled to DedicatedJobQueue, queue size:1
16:07:48.182 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.130 scheduled to DedicatedJobQueue, queue size:1
16:07:48.199 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.131 scheduled to DedicatedJobQueue, queue size:1
16:07:48.215 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.132 scheduled to DedicatedJobQueue, queue size:1
16:07:48.233 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.133 scheduled to DedicatedJobQueue, queue size:1
16:07:48.276 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.134 scheduled to DedicatedJobQueue, queue size:1
16:07:48.305 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.137 scheduled to DedicatedJobQueue, queue size:1
16:07:48.334 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.139 scheduled to DedicatedJobQueue, queue size:1
16:07:48.363 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.142 scheduled to DedicatedJobQueue, queue size:1
16:07:48.392 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.146 scheduled to DedicatedJobQueue, queue size:1
16:07:48.420 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.149 scheduled to DedicatedJobQueue, queue size:1
16:07:48.454 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.152 scheduled to DedicatedJobQueue, queue size:1
16:07:48.513 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.155 scheduled to DedicatedJobQueue, queue size:1
16:07:48.582 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.159 scheduled to DedicatedJobQueue, queue size:1
16:07:48.625 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.162 scheduled to DedicatedJobQueue, queue size:1
16:07:48.660 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.164 scheduled to DedicatedJobQueue, queue size:1
16:07:48.685 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.166 scheduled to DedicatedJobQueue, queue size:1
16:07:48.716 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.169 scheduled to DedicatedJobQueue, queue size:1
16:07:48.768 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.173 scheduled to DedicatedJobQueue, queue size:1
16:07:48.832 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.176 scheduled to DedicatedJobQueue, queue size:1
16:07:48.859 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.179 scheduled to DedicatedJobQueue, queue size:1
16:07:48.894 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.183 scheduled to DedicatedJobQueue, queue size:1
16:07:48.955 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.185 scheduled to DedicatedJobQueue, queue size:1
16:07:49.043 [Worker:ClusterController] DEBUG org.apache.hyracks.control.cc.scheduler.DedicatedJobQueue - JobID:JID:0.188 scheduled to DedicatedJobQueue, queue size:1
